human,humanLabel,uniLabel,plcLabel
http://www.wikidata.org/entity/Q763914,Gustaf Åkerman,Lund University,Stockholm
http://www.wikidata.org/entity/Q777649,Gregor Paulsson,Lund University,Helsingborgs Maria parish
http://www.wikidata.org/entity/Q779834,Leif Erland Andersson,Lund University,Falkenberg
http://www.wikidata.org/entity/Q792278,Axel Moberg,Lund University,Norrköping
http://www.wikidata.org/entity/Q828263,Bertil Werkström,Lund University,Lund
http://www.wikidata.org/entity/Q902797,Johan Gottschalk Wallerius,Lund University,"Stora Mellösa, Närke"
http://www.wikidata.org/entity/Q904641,Ludwig Ramberg,Lund University,Helsingborgs Maria parish
http://www.wikidata.org/entity/Q919874,Carl Henrik Fredriksson,Lund University,Jönköping
http://www.wikidata.org/entity/Q924485,Lars Gårding,Lund University,Hedemora
http://www.wikidata.org/entity/Q928381,Carl Fredrik Fallén,Lund University,Kristinehamns
http://www.wikidata.org/entity/Q964243,Per Georg Scheutz,Lund University,Q10542102
http://www.wikidata.org/entity/Q973338,Carl Henrik Boheman,Lund University,Jönköping
http://www.wikidata.org/entity/Q977052,Gunnar Jarring,Lund University,Höganäs
http://www.wikidata.org/entity/Q990655,Bror Emil Hildebrand,Lund University,Q10575132
http://www.wikidata.org/entity/Q991437,Anna Gustafsson Chen,Lund University,Sweden
http://www.wikidata.org/entity/Q1033656,Hans Alfredson,Lund University,Malmö
http://www.wikidata.org/entity/Q1126977,Conrad Quensel,Lund University,Scania
http://www.wikidata.org/entity/Q1145662,Ernst Wigforss,Lund University,Halmstad
http://www.wikidata.org/entity/Q1148805,Peter Gärdenfors,Lund University,Sweden
http://www.wikidata.org/entity/Q1245779,David M. Wilson,Lund University,Dacre
http://www.wikidata.org/entity/Q1279969,Lars Olofsson,Lund University,Kristianstad
http://www.wikidata.org/entity/Q1291425,Edvin Kallstenius,Lund University,Q10495152
http://www.wikidata.org/entity/Q1329629,Elis Essen-Möller,Lund University,Q10542111
http://www.wikidata.org/entity/Q1342359,Johan Wilhelm Zetterstedt,Lund University,Mjölby socken
http://www.wikidata.org/entity/Q1348320,Nils Christoffer Dunér,Lund University,Billeberga parish
http://www.wikidata.org/entity/Q1348997,Henrik Reuterdahl,Lund University,Q10576115
http://www.wikidata.org/entity/Q1353853,Erik Holmberg,Lund University,Skillingaryd
http://www.wikidata.org/entity/Q1353969,Erik Hulthén,Lund University,Helsingborg
http://www.wikidata.org/entity/Q1354090,Eric Ragnor Sventenius,Lund University,Sweden
http://www.wikidata.org/entity/Q1355274,Erland Samuel Bring,Lund University,Ausås parish
http://www.wikidata.org/entity/Q1357206,Gunnar Hökmark,Lund University,Ystad
http://www.wikidata.org/entity/Q1376561,Albert Victor Bäcklund,Lund University,Höganäs Municipality
http://www.wikidata.org/entity/Q1385985,Kilian Stobæus,Lund University,Vinslövs församling
http://www.wikidata.org/entity/Q1387688,Gunnar Malmquist,Lund University,Ystad
http://www.wikidata.org/entity/Q1388885,Pontus Fahlbeck,Lund University,Q10727296
http://www.wikidata.org/entity/Q1388971,Göte Turesson,Lund University,Malmö
http://www.wikidata.org/entity/Q1455014,Frej Ossiannilsson,Lund University,Helsingborg
http://www.wikidata.org/entity/Q1606090,Henric Schartau,Lund University,Malmö Sankt Petri församling
http://www.wikidata.org/entity/Q1733262,Karl Vennberg,Lund University,Q10431628
http://www.wikidata.org/entity/Q1777531,Christian Günther,Lund University,Hedvig Eleonora församling
http://www.wikidata.org/entity/Q1780585,Gun Hellsvik,Lund University,Ängelholm
http://www.wikidata.org/entity/Q1807561,Sten Broman,Lund University,Uppsala
http://www.wikidata.org/entity/Q1904458,Martin Lind,Lund University,Malmö
http://www.wikidata.org/entity/Q1992288,Nils Carl Gustaf Fersen Gyldenstolpe,Lund University,Östersund
http://www.wikidata.org/entity/Q2039914,Otto Martin Torell,Lund University,Varbergs
http://www.wikidata.org/entity/Q2094472,Wilhelm Lilljeborg,Lund University,Helsingborgs Maria parish
http://www.wikidata.org/entity/Q2130664,Lennart Geijer,Lund University,Ystad
http://www.wikidata.org/entity/Q2182806,Axel Leijonhufvud,Lund University,Stockholm
http://www.wikidata.org/entity/Q2223371,Per-Ingvar Brånemark,Lund University,Sweden
http://www.wikidata.org/entity/Q2371694,Sverker Oredsson,Lund University,Gothenburg
http://www.wikidata.org/entity/Q2380013,Anders Gustaf Dahlbom,Lund University,Sweden
http://www.wikidata.org/entity/Q2396467,Mauricio Rojas,Lund University,Santiago
http://www.wikidata.org/entity/Q2428829,Thor Stenbeck,Lund University,Q10728716
http://www.wikidata.org/entity/Q2448370,Bo Lundgren,Lund University,Kristianstad
http://www.wikidata.org/entity/Q2464202,Áskell Löve,Lund University,Reykjavík
http://www.wikidata.org/entity/Q2500507,Jonas Carlsson Dryander,Lund University,Gothenburg
http://www.wikidata.org/entity/Q2536262,Carl Gustaf Thomson,Lund University,Malmö
http://www.wikidata.org/entity/Q2561633,Gustaf Weidel,Lund University,Malmö
http://www.wikidata.org/entity/Q2620894,Fredrik Adam Smitt,Lund University,Halmstad
http://www.wikidata.org/entity/Q2742465,Einar Naumann,Lund University,Q10532589
http://www.wikidata.org/entity/Q2746416,Pehr G. Gyllenhammar,Lund University,Gothenburg
http://www.wikidata.org/entity/Q2870947,August Wilhelm Malm,Lund University,Lunds Cathedral Assembly
http://www.wikidata.org/entity/Q3049579,Rolf Dahlgren,Lund University,Copenhagen
http://www.wikidata.org/entity/Q3056567,Erik Penser,Lund University,Scania
http://www.wikidata.org/entity/Q3066503,Fanny de Sivers,Lund University,Pärnu
http://www.wikidata.org/entity/Q3112958,Tobias Billström,Lund University,Malmö
http://www.wikidata.org/entity/Q3142413,Åke Gustafsson,Lund University,Stockholm
http://www.wikidata.org/entity/Q3161741,Jan Raneke,Lund University,Vollsjö
http://www.wikidata.org/entity/Q3218127,Lars-Erik Lövdén,Lund University,Malmö
http://www.wikidata.org/entity/Q3305484,Emil Kléen,Lund University,Q18290868
http://www.wikidata.org/entity/Q3351898,Omar Pérez Santiago,Lund University,Santiago
http://www.wikidata.org/entity/Q3369252,Kent Ekeroth,Lund University,Malmö
http://www.wikidata.org/entity/Q3369258,Ylva Johansson,Lund University,Huddinge Municipality
http://www.wikidata.org/entity/Q3372147,Paul Saint-Pierre Plamondon,Lund University,Trois-Rivières
http://www.wikidata.org/entity/Q3373253,Eva Remaeus,Lund University,Lund
http://www.wikidata.org/entity/Q3427896,Carin Mannheimer,Lund University,Osby församling
http://www.wikidata.org/entity/Q3429442,Edvard Evers,Lund University,Uddevalla
http://www.wikidata.org/entity/Q3434020,Gunnar Wetterberg,Lund University,Malmö
http://www.wikidata.org/entity/Q3504785,Sven Otto Littorin,Lund University,Skänninge
http://www.wikidata.org/entity/Q3658738,Carl Axel Petri,Lund University,Ronneby
http://www.wikidata.org/entity/Q3816007,Knut H.M. Haeger,Lund University,Malmö
http://www.wikidata.org/entity/Q3934813,Richard Hobert,Lund University,Kalmar
http://www.wikidata.org/entity/Q4056656,Mortimer Agardh,Lund University,Båstads parish
http://www.wikidata.org/entity/Q4071288,Johan Christoffer Askelöf,Lund University,Q10535471
http://www.wikidata.org/entity/Q4241627,Abraham Peter Cronholm,Lund University,Landskrona Parish
http://www.wikidata.org/entity/Q4272889,Doris Löve,Lund University,Kristianstad
http://www.wikidata.org/entity/Q4336542,Grégoire Orlyk,Lund University,Baturyn
http://www.wikidata.org/entity/Q4347196,Frederik Paulsen junior,Lund University,Stockholm
http://www.wikidata.org/entity/Q4349605,Bengt Lidforss,Lund University,Lunds Cathedral Assembly
http://www.wikidata.org/entity/Q4354054,Tuve Skånberg,Lund University,Gothenburg
http://www.wikidata.org/entity/Q4357265,Albert Ehrensvärd the Younger,Lund University,Göteborg City
http://www.wikidata.org/entity/Q4481266,Samvel Farmanyan,Lund University,Spandaryan
http://www.wikidata.org/entity/Q4495306,Olav Hammer,Lund University,Gangkofen
http://www.wikidata.org/entity/Q4569362,Mathias Rosenblad,Lund University,Ekerö
http://www.wikidata.org/entity/Q4570742,Per Nyström,Lund University,Q10717958
http://www.wikidata.org/entity/Q4581706,Anders Frostenson,Lund University,Q10569855
http://www.wikidata.org/entity/Q4719427,Alexander Ljungqvist,Lund University,Hamburg
http://www.wikidata.org/entity/Q4724551,Ali Abkar,Lund University,Lahijan
http://www.wikidata.org/entity/Q4730772,Allan Larsson,Lund University,Bredaryd
http://www.wikidata.org/entity/Q4753826,Anders Jansson,Lund University,Staffanstorp
http://www.wikidata.org/entity/Q4793761,Hedda Andersson,Lund University,Malmö
http://www.wikidata.org/entity/Q4887803,Bengt Holgersson,Lund University,Älghult
http://www.wikidata.org/entity/Q4887818,Bengt Madsen,Lund University,Malmö
http://www.wikidata.org/entity/Q4887827,Bengt Nordén,Lund University,Lund
http://www.wikidata.org/entity/Q4895698,Bertil Nordenstam,Lund University,Nyköping
http://www.wikidata.org/entity/Q4919717,Björn E. Lindblom,Lund University,Stockholm
http://www.wikidata.org/entity/Q4919729,Björn Hamilton,Lund University,Gothenburg
http://www.wikidata.org/entity/Q4919772,Björn Söder,Lund University,Väsby parish
http://www.wikidata.org/entity/Q4934869,Eva Alexanderson,Lund University,Stockholm
http://www.wikidata.org/entity/Q4936750,Inger Ashing,Lund University,Alton
http://www.wikidata.org/entity/Q4937641,Carin Bartosch Edström,Lund University,Malmö
http://www.wikidata.org/entity/Q4938844,Jenny Berthelius,Lund University,Jakob
http://www.wikidata.org/entity/Q4940074,Hilma Borelius,Lund University,Lunds Cathedral Assembly
http://www.wikidata.org/entity/Q3444701,Ashk Dahlén,Uppsala University,Stockholm
http://www.wikidata.org/entity/Q3446705,Rudolf Abelin,Uppsala University,Malmö
http://www.wikidata.org/entity/Q3454436,Gustaf Hallström,Uppsala University,Maria Magdalena parish
http://www.wikidata.org/entity/Q3462736,Samuel Gustaf Hermelin,Uppsala University,Stockholm
http://www.wikidata.org/entity/Q3468288,Sture Linnér,Uppsala University,Solna Municipality
http://www.wikidata.org/entity/Q3506241,Sven Magnus Aurivillius,Uppsala University,Stockholm
http://www.wikidata.org/entity/Q3538574,Anders Leijonstedt,Uppsala University,Uppsala
http://www.wikidata.org/entity/Q3566058,Karl Vilhelm Zetterstéen,Uppsala University,Orsa
http://www.wikidata.org/entity/Q3566428,Ulf Grenander,Uppsala University,Västervik
http://www.wikidata.org/entity/Q3658762,Carl Fredrik af Wingård,Uppsala University,Stockholm
http://www.wikidata.org/entity/Q3700818,Dag Norberg,Uppsala University,Strängnäs
http://www.wikidata.org/entity/Q3742082,Bengt Skytte,Uppsala University,Storkyrkoförsamlingen
http://www.wikidata.org/entity/Q3797350,Sune Ambrosiani,Uppsala University,Solna
http://www.wikidata.org/entity/Q3805768,Jacob Adlerbeth,Uppsala University,Stockholm City
http://www.wikidata.org/entity/Q3808869,Johann Jacob Ferber,Uppsala University,Karlskrona city community
http://www.wikidata.org/entity/Q3808928,Johannes Canuti Lenaeus,Uppsala University,Q10556910
http://www.wikidata.org/entity/Q3810737,Arthur Baur,Uppsala University,Zürich
http://www.wikidata.org/entity/Q3827208,Lars Rambe,Uppsala University,Täby
http://www.wikidata.org/entity/Q3843379,Magnus Beronius,Uppsala University,Uppsala Cathedral Assembly
http://www.wikidata.org/entity/Q3867356,Alfred Lagerheim,Uppsala University,Copenhagen
http://www.wikidata.org/entity/Q3881911,Olof Arenius,Uppsala University,Q10435860
http://www.wikidata.org/entity/Q3892817,Gustaf Unonius,Uppsala University,Helsinki
http://www.wikidata.org/entity/Q3936996,August Gyldenstolpe,Uppsala University,Stockholm
http://www.wikidata.org/entity/Q3946660,Samuel af Ugglas,Uppsala University,Hedemora
http://www.wikidata.org/entity/Q4057912,Vladimir Admoni,Uppsala University,Saint Petersburg
http://www.wikidata.org/entity/Q4060509,Georg Alanus,Uppsala University,Jomala
http://www.wikidata.org/entity/Q4065792,Andrea Andreen,Uppsala University,parish Örby-Skene
http://www.wikidata.org/entity/Q4069879,Johan Arrhenius,Uppsala University,Q10541757
