universityLabel,univlocationLabel,countryNameLabel,personLabel,pbornLabel,borncountryLabel,organizationLabel,orglocationLabel,orgcountryLabel,yearFounded
Uppsala University,Uppsala,Sweden,Jesper Swedberg,Q10493877,Sweden,Uppsala University,Uppsala,Sweden,1477
Lund University,Lund,Sweden,Jesper Swedberg,Q10493877,Sweden,Uppsala University,Uppsala,Sweden,1666
Stockholm University,Stockholm,Sweden,Hialmar Rendahl,Jönköping,Sweden,Swedish Museum of Natural History,Stockholm,Sweden,1878
Stockholm University,Stockholm,Sweden,Ebba Witt-Brattström,Stockholm,Sweden,Humboldt University of Berlin,Dorotheenstadt,German Reich,1878
Stockholm University,Stockholm,Sweden,Viveca Sten,Stockholm,Sweden,Stockholm University,Stockholm,Sweden,1878
Stockholm University,Stockholm,Sweden,Ebba Witt-Brattström,Stockholm,Sweden,Södertörn University,Huddinge,Sweden,1878
Lund University,Lund,Sweden,Carl Jakob Sundevall,Ystad Municipality,Sweden,Lund University,Lund,Sweden,1666
Uppsala University,Uppsala,Sweden,Gustaf Aulén,Q10568321,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Rudolf Kjellén,Q10700467,Sweden,Uppsala University,Uppsala,Sweden,1477
Royal Institute of Technology,Stockholm,Sweden,Erik Ivar Fredholm,Klara Parish,Sweden,Stockholm University,Stockholm,Sweden,1827
Uppsala University,Uppsala,Sweden,Rudolf Kjellén,Q10700467,Sweden,University of Gothenburg,Gothenburg,Sweden,1477
Lund University,Lund,Sweden,Johan Erhard Areschoug,Göteborg City,Sweden,Uppsala University,Uppsala,Sweden,1666
Stockholm University,Stockholm,Sweden,Harald Cramér,Hedvig Eleonora församling,Sweden,Stockholm University,Stockholm,Sweden,1878
Stockholm University,Stockholm,Sweden,Germund Dahlquist,Uppsala,Sweden,Royal Institute of Technology,Stockholm,Sweden,1878
Stockholm University,Stockholm,Sweden,Assar Lindbeck,Umeå,Sweden,Stockholm University,Stockholm,Sweden,1878
Uppsala University,Uppsala,Sweden,Carl Axel Magnus Lindman,Halmstad,Sweden,Swedish Museum of Natural History,Norra Djurgården,Sweden,1477
Uppsala University,Uppsala,Sweden,Erik Ivar Fredholm,Stockholm,Sweden,Stockholm University,Stockholm,Sweden,1477
Uppsala University,Uppsala,Sweden,Carl Axel Magnus Lindman,Halmstad,Sweden,Swedish Museum of Natural History,Stockholm,Sweden,1477
Uppsala University,Uppsala,Sweden,Hugo von Zeipel,Stockholm,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Gustaf Oskar Andersson Malme,Q10681060,Sweden,Uppsala University,Uppsala,Sweden,1477
Lund University,Lund,Sweden,Carl Wilhelm Oseen,Lund,Sweden,Lund University,Lund,Sweden,1666
Uppsala University,Uppsala,Sweden,Olof Rudbeck the Younger,Uppsala,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Stig Strömholm,Boden,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Gunnar Rudberg,Skaraborg County,Sweden,Uppsala University,Uppsala,Sweden,1477
